"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DPM2",280.867953987939,-0.589359162231824,0.151156882983137,-3.89898991432346,9.65947975612201e-05,0.00119794522502641
"FAM102A",776.805152855156,-0.276466475194224,0.167036082013784,-1.65513026803042,0.0978980762920919,0.253555201098801
"NAIF1",76.5885196197321,0.527165900691142,0.186487993869172,2.82680879210362,0.00470143911393876,0.0260979289035528
"SLC25A25",279.459120746492,1.03165515407022,0.295534121649833,3.49081570788155,0.000481548297247998,0.00441642079821008
"PTGES2",492.912048680166,-0.855744615101789,0.295473667777832,-2.89617894392277,0.00377736938136715,0.0221911518670025
"LCN2",785.026828419651,0.0932881353831628,0.646575935532644,0.144280246536415,0.885279176073432,0.955626374227766
"C9orf16",242.993144672647,-0.459707235715728,0.52206860350898,-0.880549476880811,0.378561714542998,0.611901701198119
"CIZ1",616.262105851708,-0.505707699640167,0.196329382522085,-2.57581261217118,0.0100004827164421,0.0467844215541416
"DNM1",1007.89907853466,-0.795044017069338,0.363653891136705,-2.18626566756703,0.0287961743995189,0.103595505074451
"GOLGA2",671.847129409754,-0.00414387393321747,0.110356642549964,-0.0375498369419976,0.970046604008075,0.990816661754888
"SWI5",139.297963337686,-0.647211838334872,0.307931891037048,-2.10180191520665,0.0355706313139292,0.122008708058658
"TRUB2",385.773738018743,-0.836837370025747,0.240837446246512,-3.47469790544612,0.00051142895303256,0.00462759752548751
"COQ4",203.649327900224,-0.574539122615635,0.180285849247123,-3.18682317561207,0.00143844686592694,0.0104661501814656
"SLC27A4",264.135271742243,-0.500057127506887,0.233879542585583,-2.13809691082281,0.0325088786143217,0.113916803936938
"URM1",551.331398833973,-0.309291612315861,0.235922322945635,-1.31098917836246,0.189861419731887,0.397087589463499
"CERCAM",312.032731315546,-0.426246011554942,0.279861337416797,-1.52306143995923,0.127743334808123,0.305243268631228
"ODF2",287.651492086077,-0.428569009773058,0.372273751198904,-1.15122005887564,0.249641715015982,0.473282894878284
"GLE1",346.834705976512,-0.286970096598264,0.280931382675304,-1.02149533407572,0.307019818595392,0.537440442314617
"SPTAN1",3410.89631388697,-0.25798955385096,0.127082276028145,-2.03009862519163,0.0423465152547975,0.138979992044228
"WDR34",621.919405463658,-1.29592137490177,0.204693645893494,-6.33102883699704,2.43531820251375e-10,2.88650272751382e-08
"SET",3739.28866397522,0.0086297870310586,0.110765153068964,0.0779106676779974,0.93789911362712,0.978072509315871
"PKN3",99.0506422524545,-0.626584030730357,0.363679389219078,-1.72290223010936,0.0849062069992781,0.229835891924301
"ZDHHC12",285.993304963375,-0.989296188190392,0.240785349940868,-4.10862283952634,3.98025479599469e-05,0.000586908036252702
"LOC100506100",47.9751860571762,-0.654024308814092,0.286956154072072,-2.27917854185426,0.0226564541251216,0.086968297453835
"ZER1",281.539000602696,-0.461762411656836,0.146474389771877,-3.1525129572207,0.00161871637393856,0.0115081543672821
"TBC1D13",234.897701162538,-0.428960090886966,0.128833857550099,-3.32956024948767,0.000869832429351884,0.00701969237554402
"ENDOG",73.9364733331565,-1.03478490145274,0.612718050722864,-1.68884350678414,0.0912494238227086,0.241405494782017
"LRRC8A",689.549607473208,0.00271227399178182,0.127791663091606,0.0212241857267133,0.983066821206308,0.995818131843505
"PHYHD1",1.47812717643391,0.744074649322864,1.05638003851815,0.704362655665683,0.481206956193085,0.70249157660869
"DOLK",210.14069761595,-0.854626569697029,0.191743434908695,-4.45713601669851,8.30619040374896e-06,0.000165558688573826
"NUP188",486.476729624266,-0.606231798002913,0.164802430650083,-3.67853675222845,0.000234575892679481,0.00248448832580785
"SH3GLB2",337.185531238622,-0.629733079155877,0.219890616241085,-2.8638469886566,0.00418530131668573,0.0239569535421763
"DOLPP1",200.109359382014,-0.317427616609742,0.109172691074041,-2.90757343697301,0.00364244809673406,0.0215781349095726
"CRAT",283.051725418229,-0.496731363990907,0.30161518301243,-1.64690437341291,0.0995777028392673,0.256068730040626
"IER5L",1073.34416595546,-0.164807219758228,0.442357460832533,-0.372565706132896,0.709471700590956,0.859346836342599
"C9orf50",0.491748625828597,-0.488136751786508,1.61606544846714,-0.30205258843292,0.76261197423481,NA
"NTMT1",299.919109017541,-0.637393902626153,0.232677021895625,-2.73939341939866,0.00615526684373679,0.0321577484127527
"ASB6",318.02103383859,-0.000289029644344745,0.227074662763945,-0.00127283969433968,0.998984421133736,0.999982221814558
"PRRX2",10.4040152958075,0.609391526765904,0.689864430675404,0.883349683892654,0.377047367440166,0.610470748096293
"PTGES",322.753592978386,0.11507907400316,0.424803011871616,0.270899854255127,0.786468057123885,0.905158218290902
"TOR1B",363.49825928009,0.310541255447205,0.19218917497397,1.61581033629633,0.106135326085887,0.267787326638865
"TOR1A",511.021005920545,-0.476351581680432,0.141371591283197,-3.36950003431878,0.000753046817957841,0.00627619857350048
"C9orf78",334.084027469395,-0.51271482058483,0.12750434210825,-4.0211557669898,5.79132919226789e-05,0.000793662562827392
"USP20",98.0944016381252,-0.0381850791715662,0.215257612813566,-0.177392467901417,0.859200123240361,0.943346083549221
"FNBP1",154.310524589825,0.231936937017784,0.279930571676328,0.828551649892539,0.407358156934845,0.637362325612127
"GPR107",1029.83470883215,-0.224483134291914,0.15067248410298,-1.48987478124066,0.13625716363239,0.318576265580503
"NCS1",360.748216828886,-0.456354772581271,0.204343145769942,-2.23327663309566,0.0255307074632882,0.095246346656049
"ASS1",304.769732996829,1.23283734895138,0.312887040449408,3.94019946361671,8.1413887675181e-05,0.00104731850367236
"LOC100272217",25.8274384492485,1.57566390257549,0.437923222007441,3.59803687813733,0.000320628164347798,0.00319537452363817
"FUBP3",705.992117313153,-0.208943861650622,0.197560338937978,-1.05762048584163,0.290228499105109,0.520186760429993
"PRDM12",3.3820028665469,-0.0753747551096574,0.727373013382418,-0.103625998934372,0.91746615456895,0.969741115179856
"EXOSC2",283.939507359949,-0.450947754667125,0.173190165690201,-2.60377229197743,0.00922039934728066,0.0437546273426732
"ABL1",856.467788107575,0.223091540730476,0.280029180614726,0.796672476206732,0.425641273017433,0.654455262667136
"QRFP",0.16861904835741,-0.0289855271537874,3.00317535619469,-0.0096516266004909,0.992299235708386,NA
"FIBCD1",33.8096360676887,-0.528088718621453,0.441638282670216,-1.19574941607993,0.231794361005764,0.451144927133655
"LAMC3",26.5778042908825,-0.710581181387793,0.749533051291368,-0.948031818161367,0.343113256345876,0.577196048893003
"AIF1L",82.9230225782808,-1.04750155281529,0.844711008234972,-1.24007091490858,0.21494916568166,0.430036811691681
"NUP214",475.613208856313,-0.168481035327435,0.181664785122748,-0.927428148573732,0.353704281377487,0.58850904167898
"FAM78A",6.66728790006453,-0.836770847599482,0.667740343164089,-1.25313807405202,0.210155461859878,0.424549031524633
"PRRC2B",1512.56324423271,0.169307500134322,0.150279948330339,1.12661404276076,0.259905699224869,0.484384300286836
"POMT1",173.426427504396,-0.280181969914747,0.213552277232539,-1.31200647235269,0.189517950740296,0.396556952458098
"UCK1",174.867511016684,-0.339926826069956,0.214230187299418,-1.58673635286917,0.112572369280849,0.279174441434873
"RAPGEF1",522.139245020392,0.154811503116279,0.182031163579846,0.850467030324582,0.395065483043126,0.626960522813841
"MED27",173.034920516785,0.136864297963935,0.208301421242345,0.657049275744992,0.51114923283948,0.72593196179444
"NTNG2",27.0948528289357,2.46667423953816,0.632236404236403,3.9015061818804,9.55960198808911e-05,0.00118935849414311
"SETX",929.848334854854,1.0933971099105,0.392773587753608,2.78378471465959,0.0053728683477122,0.0289869794422958
"TTF1",169.707371411785,0.555962190949321,0.213249137065632,2.60710171492141,0.00913122310970289,0.043410850232277
"DDX31",231.094212576698,-0.0245619111858829,0.188084790845756,-0.130589565883748,0.896099997256066,0.96109308954859
"GTF3C4",385.473254753638,0.66200330221832,0.280220222320194,2.36243942973495,0.0181551079352368,0.0734865382978159
"AK8",11.5114681317747,-0.0528475700168838,0.348796843767537,-0.151513899741894,0.879570347006554,0.953347296000664
"TSC1",503.700755575458,0.808497750039628,0.3377688472125,2.39364215116908,0.0166820156468267,0.0689070648971211
"GFI1B",0,NA,NA,NA,NA,NA
"GTF3C5",395.481159155979,-0.777512999745527,0.142141347999618,-5.46999877718632,4.50038683960475e-08,2.4263023075883e-06
